Bayesian optimization of sru starts
-------------------------------------------------------------------
1回目
{'dropout': 0.9855760506615988, 'clip': 7.070732643474399, 'weight_decay': 0.0003000320019508965, 'l_rate': 0.04315845980687884}
EPOCH:: 30, (46m 39s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 31, (48m 11s) train_cost: 2.302, test_cost: 2.304, train_acc: 0.113, test_acc: 0.110
EPOCH:: 32, (49m 43s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 33, (51m 17s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.105
EPOCH:: 34, (52m 49s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 35, (54m 23s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 36, (55m 56s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.103
EPOCH:: 37, (57m 30s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 38, (59m 5s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 39, (60m 38s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 40, (62m 11s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.103
EPOCH:: 41, (63m 44s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.111, test_acc: 0.103
EPOCH:: 42, (65m 17s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.110
EPOCH:: 43, (66m 51s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 44, (68m 24s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 45, (69m 58s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 46, (71m 33s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 47, (73m 6s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 48, (74m 38s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.103
EPOCH:: 49, (76m 12s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.110, test_acc: 0.110
EPOCH:: 50, (77m 45s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.113, test_acc: 0.110
max test_acc: 0.110
-------------------------------------------------------------------
2回目
{'dropout': 0.6227097526294368, 'clip': 643.421101235567, 'weight_decay': 0.00042975869535659026, 'l_rate': 0.039195046254461734}
EPOCH:: 1, (1m 33s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 2, (3m 8s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 3, (4m 42s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 4, (6m 17s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.113, test_acc: 0.110
EPOCH:: 5, (7m 49s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 6, (9m 23s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 7, (10m 57s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 8, (12m 32s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 9, (14m 6s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 10, (15m 40s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.105
EPOCH:: 11, (17m 14s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 12, (18m 47s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 13, (20m 21s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 14, (21m 54s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 15, (23m 32s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.110, test_acc: 0.110
EPOCH:: 16, (25m 9s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.097
EPOCH:: 17, (26m 46s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.105
EPOCH:: 18, (28m 25s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.109, test_acc: 0.110
EPOCH:: 19, (30m 2s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 20, (31m 38s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 21, (33m 15s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 22, (34m 50s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 23, (36m 27s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.110
EPOCH:: 24, (38m 4s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 25, (39m 43s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 26, (41m 20s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 27, (42m 57s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 28, (44m 32s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 29, (46m 12s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 30, (47m 48s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 31, (49m 25s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.113, test_acc: 0.110
EPOCH:: 32, (51m 0s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 33, (52m 35s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.105
EPOCH:: 34, (54m 7s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 35, (55m 41s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 36, (57m 15s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.103
EPOCH:: 37, (58m 49s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 38, (60m 27s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.110
EPOCH:: 39, (62m 5s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 40, (63m 44s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.103
EPOCH:: 41, (65m 22s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 42, (67m 2s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 43, (68m 35s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 44, (70m 9s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 45, (71m 41s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 46, (73m 13s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 47, (74m 46s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 48, (76m 19s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.103
EPOCH:: 49, (77m 51s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.110, test_acc: 0.110
EPOCH:: 50, (79m 23s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.113, test_acc: 0.110
max test_acc: 0.110
-------------------------------------------------------------------
3回目
{'dropout': 0.9084383736699743, 'clip': 400.7829030202745, 'weight_decay': 4.854464324042382e-05, 'l_rate': 0.8098036924111182}
EPOCH:: 1, (1m 31s) train_cost: 2.328, test_cost: 2.312, train_acc: 0.104, test_acc: 0.103
EPOCH:: 2, (3m 4s) train_cost: 2.310, test_cost: 2.316, train_acc: 0.103, test_acc: 0.102
EPOCH:: 3, (4m 36s) train_cost: 2.312, test_cost: 2.307, train_acc: 0.103, test_acc: 0.097
EPOCH:: 4, (6m 9s) train_cost: 2.312, test_cost: 2.310, train_acc: 0.103, test_acc: 0.105
EPOCH:: 5, (7m 41s) train_cost: 2.314, test_cost: 2.313, train_acc: 0.104, test_acc: 0.103
EPOCH:: 6, (9m 13s) train_cost: 2.310, test_cost: 2.309, train_acc: 0.102, test_acc: 0.103
EPOCH:: 7, (10m 47s) train_cost: 2.312, test_cost: 2.305, train_acc: 0.103, test_acc: 0.103
EPOCH:: 8, (12m 20s) train_cost: 2.315, test_cost: 2.305, train_acc: 0.102, test_acc: 0.105
EPOCH:: 9, (13m 57s) train_cost: 2.310, test_cost: 2.307, train_acc: 0.105, test_acc: 0.103
EPOCH:: 10, (15m 30s) train_cost: 2.312, test_cost: 2.310, train_acc: 0.103, test_acc: 0.110
EPOCH:: 11, (17m 4s) train_cost: 2.313, test_cost: 2.309, train_acc: 0.103, test_acc: 0.102
EPOCH:: 12, (18m 39s) train_cost: 2.313, test_cost: 2.316, train_acc: 0.106, test_acc: 0.110
EPOCH:: 13, (20m 20s) train_cost: 2.313, test_cost: 2.308, train_acc: 0.105, test_acc: 0.097
EPOCH:: 14, (22m 0s) train_cost: 2.311, test_cost: 2.315, train_acc: 0.101, test_acc: 0.102
EPOCH:: 15, (23m 38s) train_cost: 2.313, test_cost: 2.317, train_acc: 0.105, test_acc: 0.097
EPOCH:: 16, (25m 18s) train_cost: 2.312, test_cost: 2.314, train_acc: 0.101, test_acc: 0.103
EPOCH:: 17, (26m 53s) train_cost: 2.313, test_cost: 2.307, train_acc: 0.103, test_acc: 0.103
EPOCH:: 18, (28m 27s) train_cost: 2.311, test_cost: 2.311, train_acc: 0.104, test_acc: 0.102
EPOCH:: 19, (30m 5s) train_cost: 2.314, test_cost: 2.305, train_acc: 0.102, test_acc: 0.105
EPOCH:: 20, (31m 48s) train_cost: 2.309, test_cost: 2.307, train_acc: 0.102, test_acc: 0.110
EPOCH:: 21, (33m 27s) train_cost: 2.314, test_cost: 2.330, train_acc: 0.102, test_acc: 0.105
EPOCH:: 22, (35m 7s) train_cost: 2.315, test_cost: 2.311, train_acc: 0.103, test_acc: 0.098
EPOCH:: 23, (36m 44s) train_cost: 2.316, test_cost: 2.314, train_acc: 0.100, test_acc: 0.103
EPOCH:: 24, (38m 18s) train_cost: 2.313, test_cost: 2.309, train_acc: 0.103, test_acc: 0.110
EPOCH:: 25, (39m 52s) train_cost: 2.312, test_cost: 2.307, train_acc: 0.101, test_acc: 0.095
EPOCH:: 26, (41m 26s) train_cost: 2.317, test_cost: 2.324, train_acc: 0.103, test_acc: 0.100
EPOCH:: 27, (43m 0s) train_cost: 2.311, test_cost: 2.306, train_acc: 0.101, test_acc: 0.103
EPOCH:: 28, (44m 34s) train_cost: 2.311, test_cost: 2.306, train_acc: 0.104, test_acc: 0.100
EPOCH:: 29, (46m 11s) train_cost: 2.309, test_cost: 2.312, train_acc: 0.106, test_acc: 0.097
EPOCH:: 30, (47m 45s) train_cost: 2.310, test_cost: 2.311, train_acc: 0.106, test_acc: 0.110
EPOCH:: 31, (49m 20s) train_cost: 2.311, test_cost: 2.312, train_acc: 0.105, test_acc: 0.103
EPOCH:: 32, (50m 54s) train_cost: 2.315, test_cost: 2.303, train_acc: 0.102, test_acc: 0.098
EPOCH:: 33, (52m 30s) train_cost: 2.311, test_cost: 2.306, train_acc: 0.103, test_acc: 0.110
EPOCH:: 34, (54m 5s) train_cost: 2.313, test_cost: 2.311, train_acc: 0.105, test_acc: 0.095
EPOCH:: 35, (55m 39s) train_cost: 2.313, test_cost: 2.313, train_acc: 0.102, test_acc: 0.097
EPOCH:: 36, (57m 14s) train_cost: 2.313, test_cost: 2.324, train_acc: 0.106, test_acc: 0.098
EPOCH:: 37, (58m 48s) train_cost: 2.312, test_cost: 2.306, train_acc: 0.102, test_acc: 0.100
EPOCH:: 38, (60m 23s) train_cost: 2.310, test_cost: 2.310, train_acc: 0.104, test_acc: 0.095
EPOCH:: 39, (61m 59s) train_cost: 2.317, test_cost: 2.312, train_acc: 0.103, test_acc: 0.097
EPOCH:: 40, (63m 37s) train_cost: 2.316, test_cost: 2.312, train_acc: 0.102, test_acc: 0.097
EPOCH:: 41, (65m 16s) train_cost: 2.315, test_cost: 2.310, train_acc: 0.105, test_acc: 0.110
EPOCH:: 42, (66m 56s) train_cost: 2.311, test_cost: 2.312, train_acc: 0.104, test_acc: 0.102
EPOCH:: 43, (68m 39s) train_cost: 2.314, test_cost: 2.310, train_acc: 0.105, test_acc: 0.110
EPOCH:: 44, (70m 18s) train_cost: 2.313, test_cost: 2.347, train_acc: 0.104, test_acc: 0.097
EPOCH:: 45, (71m 52s) train_cost: 2.316, test_cost: 2.308, train_acc: 0.101, test_acc: 0.102
EPOCH:: 46, (73m 26s) train_cost: 2.311, test_cost: 2.309, train_acc: 0.104, test_acc: 0.110
EPOCH:: 47, (75m 2s) train_cost: 2.313, test_cost: 2.316, train_acc: 0.103, test_acc: 0.100
EPOCH:: 48, (76m 37s) train_cost: 2.310, test_cost: 2.312, train_acc: 0.103, test_acc: 0.103
EPOCH:: 49, (78m 12s) train_cost: 2.312, test_cost: 2.319, train_acc: 0.104, test_acc: 0.110
EPOCH:: 50, (79m 47s) train_cost: 2.319, test_cost: 2.312, train_acc: 0.102, test_acc: 0.105
max test_acc: 0.110
-------------------------------------------------------------------
4回目
{'dropout': 0.34228344916469844, 'clip': 6.784607340052615, 'weight_decay': 0.0004220165345083618, 'l_rate': 8.100322712268231e-05}
EPOCH:: 1, (1m 32s) train_cost: 2.276, test_cost: 2.177, train_acc: 0.146, test_acc: 0.164
EPOCH:: 2, (3m 7s) train_cost: 1.953, test_cost: 1.662, train_acc: 0.140, test_acc: 0.126
EPOCH:: 3, (4m 42s) train_cost: 1.586, test_cost: 1.345, train_acc: 0.142, test_acc: 0.085
EPOCH:: 4, (6m 16s) train_cost: 1.346, test_cost: 1.174, train_acc: 0.094, test_acc: 0.133
EPOCH:: 5, (7m 50s) train_cost: 1.190, test_cost: 1.030, train_acc: 0.101, test_acc: 0.157
EPOCH:: 6, (9m 24s) train_cost: 1.073, test_cost: 0.996, train_acc: 0.135, test_acc: 0.162
EPOCH:: 7, (10m 59s) train_cost: 1.002, test_cost: 0.944, train_acc: 0.157, test_acc: 0.169
EPOCH:: 8, (12m 34s) train_cost: 0.955, test_cost: 0.884, train_acc: 0.170, test_acc: 0.189
EPOCH:: 9, (14m 7s) train_cost: 0.901, test_cost: 0.829, train_acc: 0.186, test_acc: 0.211
EPOCH:: 10, (15m 41s) train_cost: 0.864, test_cost: 0.826, train_acc: 0.202, test_acc: 0.204
EPOCH:: 11, (17m 15s) train_cost: 0.858, test_cost: 0.840, train_acc: 0.200, test_acc: 0.194
EPOCH:: 12, (18m 55s) train_cost: 0.851, test_cost: 0.800, train_acc: 0.203, test_acc: 0.220
EPOCH:: 13, (20m 36s) train_cost: 0.810, test_cost: 0.758, train_acc: 0.214, test_acc: 0.208
EPOCH:: 14, (22m 16s) train_cost: 0.790, test_cost: 0.714, train_acc: 0.203, test_acc: 0.094
EPOCH:: 15, (23m 58s) train_cost: 0.746, test_cost: 0.745, train_acc: 0.195, test_acc: 0.199
EPOCH:: 16, (25m 40s) train_cost: 0.742, test_cost: 0.724, train_acc: 0.186, test_acc: 0.114
EPOCH:: 17, (27m 15s) train_cost: 0.725, test_cost: 0.694, train_acc: 0.138, test_acc: 0.069
EPOCH:: 18, (28m 48s) train_cost: 0.716, test_cost: 0.666, train_acc: 0.138, test_acc: 0.051
EPOCH:: 19, (30m 22s) train_cost: 0.695, test_cost: 0.649, train_acc: 0.070, test_acc: 0.037
EPOCH:: 20, (31m 56s) train_cost: 0.749, test_cost: 0.665, train_acc: 0.101, test_acc: 0.074
EPOCH:: 21, (33m 30s) train_cost: 0.696, test_cost: 0.637, train_acc: 0.095, test_acc: 0.046
EPOCH:: 22, (35m 4s) train_cost: 0.668, test_cost: 0.699, train_acc: 0.057, test_acc: 0.100
EPOCH:: 23, (36m 38s) train_cost: 0.679, test_cost: 0.622, train_acc: 0.074, test_acc: 0.051
EPOCH:: 24, (38m 12s) train_cost: 0.666, test_cost: 0.636, train_acc: 0.048, test_acc: 0.025
EPOCH:: 25, (39m 46s) train_cost: 0.814, test_cost: 0.636, train_acc: 0.106, test_acc: 0.028
EPOCH:: 26, (41m 21s) train_cost: 0.653, test_cost: 0.629, train_acc: 0.056, test_acc: 0.026
EPOCH:: 27, (42m 57s) train_cost: 0.635, test_cost: 0.748, train_acc: 0.042, test_acc: 0.114
EPOCH:: 28, (44m 31s) train_cost: 0.640, test_cost: 0.587, train_acc: 0.053, test_acc: 0.042
EPOCH:: 29, (46m 7s) train_cost: 0.633, test_cost: 0.582, train_acc: 0.033, test_acc: 0.047
EPOCH:: 30, (47m 44s) train_cost: 0.745, test_cost: 0.731, train_acc: 0.088, test_acc: 0.117
EPOCH:: 31, (49m 18s) train_cost: 0.647, test_cost: 0.583, train_acc: 0.056, test_acc: 0.041
EPOCH:: 32, (50m 54s) train_cost: 0.615, test_cost: 0.568, train_acc: 0.038, test_acc: 0.050
EPOCH:: 33, (52m 29s) train_cost: 0.634, test_cost: 0.568, train_acc: 0.055, test_acc: 0.050
EPOCH:: 34, (54m 10s) train_cost: 0.585, test_cost: 0.562, train_acc: 0.043, test_acc: 0.052
EPOCH:: 35, (55m 50s) train_cost: 0.606, test_cost: 0.553, train_acc: 0.037, test_acc: 0.054
EPOCH:: 36, (57m 32s) train_cost: 0.613, test_cost: 0.587, train_acc: 0.036, test_acc: 0.043
EPOCH:: 37, (59m 13s) train_cost: 0.648, test_cost: 0.682, train_acc: 0.067, test_acc: 0.048
EPOCH:: 38, (60m 51s) train_cost: 0.642, test_cost: 0.655, train_acc: 0.066, test_acc: 0.069
EPOCH:: 39, (62m 24s) train_cost: 0.589, test_cost: 0.547, train_acc: 0.049, test_acc: 0.058
EPOCH:: 40, (63m 57s) train_cost: 0.588, test_cost: 0.573, train_acc: 0.050, test_acc: 0.047
EPOCH:: 41, (65m 30s) train_cost: 0.652, test_cost: 0.580, train_acc: 0.076, test_acc: 0.045
EPOCH:: 42, (67m 3s) train_cost: 0.553, test_cost: 0.517, train_acc: 0.057, test_acc: 0.069
EPOCH:: 43, (68m 38s) train_cost: 0.558, test_cost: 0.577, train_acc: 0.059, test_acc: 0.043
EPOCH:: 44, (70m 12s) train_cost: 0.545, test_cost: 0.506, train_acc: 0.059, test_acc: 0.073
EPOCH:: 45, (71m 46s) train_cost: 0.539, test_cost: 0.504, train_acc: 0.064, test_acc: 0.078
EPOCH:: 46, (73m 24s) train_cost: 0.557, test_cost: 0.537, train_acc: 0.058, test_acc: 0.060
EPOCH:: 47, (75m 1s) train_cost: 0.524, test_cost: 0.494, train_acc: 0.071, test_acc: 0.081
EPOCH:: 48, (76m 38s) train_cost: 0.523, test_cost: 0.493, train_acc: 0.070, test_acc: 0.086
EPOCH:: 49, (78m 15s) train_cost: 0.609, test_cost: 0.479, train_acc: 0.081, test_acc: 0.088
EPOCH:: 50, (79m 53s) train_cost: 0.503, test_cost: 0.482, train_acc: 0.079, test_acc: 0.086
max test_acc: 0.220
-------------------------------------------------------------------
5回目
{'dropout': 0.46994404036291704, 'clip': 94.68486494025987, 'weight_decay': 1.998274304973687e-05, 'l_rate': 0.1144820435393437}
EPOCH:: 1, (1m 35s) train_cost: 2.350, test_cost: 2.303, train_acc: 0.106, test_acc: 0.110
EPOCH:: 2, (3m 10s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.107, test_acc: 0.110
EPOCH:: 3, (4m 45s) train_cost: 2.303, test_cost: 2.305, train_acc: 0.111, test_acc: 0.103
EPOCH:: 4, (6m 21s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.107, test_acc: 0.110
EPOCH:: 5, (7m 58s) train_cost: 2.302, test_cost: 2.305, train_acc: 0.109, test_acc: 0.110
EPOCH:: 6, (9m 34s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.110, test_acc: 0.105
EPOCH:: 7, (11m 10s) train_cost: 2.303, test_cost: 2.303, train_acc: 0.109, test_acc: 0.105
EPOCH:: 8, (12m 47s) train_cost: 2.303, test_cost: 2.303, train_acc: 0.108, test_acc: 0.110
EPOCH:: 9, (14m 21s) train_cost: 2.303, test_cost: 2.303, train_acc: 0.111, test_acc: 0.105
EPOCH:: 10, (15m 55s) train_cost: 2.304, test_cost: 2.304, train_acc: 0.109, test_acc: 0.103
EPOCH:: 11, (17m 32s) train_cost: 2.303, test_cost: 2.303, train_acc: 0.110, test_acc: 0.103
EPOCH:: 12, (19m 7s) train_cost: 2.304, test_cost: 2.305, train_acc: 0.107, test_acc: 0.103
EPOCH:: 13, (20m 45s) train_cost: 2.304, test_cost: 2.302, train_acc: 0.107, test_acc: 0.098
EPOCH:: 14, (22m 20s) train_cost: 2.304, test_cost: 2.307, train_acc: 0.106, test_acc: 0.105
EPOCH:: 15, (23m 57s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 16, (25m 34s) train_cost: 2.303, test_cost: 2.304, train_acc: 0.108, test_acc: 0.110
EPOCH:: 17, (27m 9s) train_cost: 2.303, test_cost: 2.304, train_acc: 0.112, test_acc: 0.095
EPOCH:: 18, (28m 45s) train_cost: 2.303, test_cost: 2.304, train_acc: 0.110, test_acc: 0.110
EPOCH:: 19, (30m 20s) train_cost: 2.304, test_cost: 2.304, train_acc: 0.107, test_acc: 0.110
EPOCH:: 20, (31m 55s) train_cost: 2.304, test_cost: 2.303, train_acc: 0.110, test_acc: 0.105
EPOCH:: 21, (33m 29s) train_cost: 2.303, test_cost: 2.303, train_acc: 0.108, test_acc: 0.110
EPOCH:: 22, (35m 2s) train_cost: 2.304, test_cost: 2.305, train_acc: 0.109, test_acc: 0.095
EPOCH:: 23, (36m 41s) train_cost: 2.304, test_cost: 2.305, train_acc: 0.107, test_acc: 0.110
EPOCH:: 24, (38m 22s) train_cost: 2.303, test_cost: 2.308, train_acc: 0.107, test_acc: 0.095
EPOCH:: 25, (40m 5s) train_cost: 2.304, test_cost: 2.302, train_acc: 0.109, test_acc: 0.110
EPOCH:: 26, (41m 47s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.107, test_acc: 0.110
EPOCH:: 27, (43m 26s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.108, test_acc: 0.110
EPOCH:: 28, (45m 1s) train_cost: 2.303, test_cost: 2.305, train_acc: 0.109, test_acc: 0.110
EPOCH:: 29, (46m 36s) train_cost: 2.304, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 30, (48m 9s) train_cost: 2.304, test_cost: 2.303, train_acc: 0.108, test_acc: 0.110
EPOCH:: 31, (49m 43s) train_cost: 2.304, test_cost: 2.307, train_acc: 0.108, test_acc: 0.098
EPOCH:: 32, (51m 17s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.107, test_acc: 0.110
EPOCH:: 33, (52m 49s) train_cost: 2.303, test_cost: 2.305, train_acc: 0.109, test_acc: 0.105
EPOCH:: 34, (54m 24s) train_cost: 2.303, test_cost: 2.305, train_acc: 0.110, test_acc: 0.110
EPOCH:: 35, (55m 59s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
